>>> Training starts at  2025-11-20 13:01:28.627586
Filling replay buffer...
Steps: 0 | Reward: 0.00 | Eps: 1.000
C:\Users\ainav\anaconda3\envs\project_paradigms\lib\site-packages\numpy\_core\fromnumeric.py:3860: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
C:\Users\ainav\anaconda3\envs\project_paradigms\lib\site-packages\numpy\_core\_methods.py:145: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
Steps: 0 | Reward: -198.00 | Eps: 1.000
Steps: 0 | Reward: -198.00 | Eps: 1.000
Steps: 0 | Reward: -198.00 | Eps: 1.000
Steps: 0 | Reward: -198.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -199.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -200.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -201.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -202.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -203.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -204.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
Steps: 0 | Reward: -205.00 | Eps: 1.000
